Model,AUC-ROC,AUC-PR,Best_F1,Precision,Recall,n_positives,n_negatives
TransE,0.7930063254336952,0.19500157769174087,0.26493077082041744,0.3295629820051414,0.2214927436074637,2894,231520
ComplEx,0.8547818577888432,0.4172639046354217,0.47163420829805247,0.6087431693989072,0.3849343469246717,2894,231520
TriModel,0.8558457479586247,0.39318910634491766,0.44194002817468303,0.5291566265060241,0.3794056668970283,2894,231520
